question,label_1,label_5
Na.jaké.hodnocení.obvykle.cílíte.v.oblastech..které.Vás.zajímají.nebo.je.potřebujete.pro.budoucí.studium.,NA,NA
Na.jaké.hodnocení.obvykle.cílíte.v.oblastech..které.pro.Vás.nejsou.důležité.,NA,NA
Z.aktivit.uvedených.v.portfoliu.uchazeče..když.jsem.se.na.Zatlanku.hlásil.a..nyní.praktikuji.,NA,NA
Ohodnoťte..jak.je.pro.Vás.celková.zátěž.školou.konzistentní.,,NA
Jak.Vám.vyhovuje.délka.bloku. (SAK),Naprosto vyhovuje,Nevyhovující
Tandem.učitelů.v.tomto.předmětu.v.tomto.školním.roce.považuji.za. (SAK),Funkční,Nefunguje
Jak.velkou.zátěž.pro.mne.znamená.četba. (SAK),Naprosto zásadní,Žádnou
Ohodnoťte..jak.důležitý.je.pro.Vás.SaK. (SAK), Nezajímá mě,Velmi důležitý a baví mě
Ohodnoťte..jak.moc.Vás.v.SaKu.zatěžují.úkoly.na.doma. (SAK),Téměř vůbec,Opravdu hodně
Ohodnoťte..jak.moc.Vás.v.SaKu.zatěžuje.příprava.na.zkouškové. (SAK),Téměř vůbec,Opravdu hodně
Ohodnoťte..jak.je.pro.Vás.zátěž.v.SaKu.konzistentní. (SAK),Konzistentní,Velmi volatilní
Hodnocení.QZ.v.tomto.předmětu. (SAK),NA,NA
Ohodnoťte.kvalitu.zpětné.vazby.a.kritérií.hodnocení.v.SaKu. (SAK),Jasná,Nejasná
Jak.je.pro.Vás.v.SaKu.srozumitelný.systém.hodnocení.procesu..ABC.. (SAK),Přesně chápu,Vůbec nefunguje
Ohodnoťte..jak.moc.přesně.můžete.očekávat..jakou.známku.ve.zkouškovém.dostanete. (SAK),Přesně vím,Nevím vůbec
Chci.něco.zásadního.doplnit.či.okomentovat.v.sekci.SAK. (SAK),NA,NA
Jak.Vám.vyhovuje.délka.bloku..1 (PIV),Naprosto vyhovuje,Nevyhovující
Tandem.učitelů.v.tomto.předmětu.v.tomto.školním.roce.považuji.za..1 (PIV),Funkční,Nefunguje
Výuka.v.PIVu.obsahuje.nácvik.praktických.dovedností..laboratorní.práce.. (PIV),NA,NA
Ohodnoťte..jak.důležitý.je.pro.Vás.PIV. (PIV),Nezajímá mě,Velmi důležitý a baví mě
Ohodnoťte..jak.moc.Vás.v.PIVu.zatěžují.úkoly.na.doma. (PIV),Téměř vůbec,Opravdu hodně
Ohodnoťte..jak.moc.Vás.v.PIVu.zatěžuje.příprava.na.zkouškové. (PIV),Téměř vůbec,Opravdu hodně
Ohodnoťte..jak.je.pro.Vás.zátěž.v.PIVu.konzistentní. (PIV),Konzistentní,Velmi volatilní
Hodnocení.QZ.v.tomto.předmětu..1 (PIV),NA,NA
Ohodnoťte.kvalitu.zpětné.vazby.a.kritérií.hodnocení.v.PIVu. (PIV),Jasná,Nejasná
Jak.je.pro.Vás.v.PIVu.srozumitelný.systém.hodnocení.procesu..ABC.. (PIV),Přesně chápu,Vůbec nefunguje
Ohodnoťte..jak.moc.přesně.můžete.očekávat..jakou.známku.ve.zkouškovém.dostanete..1 (PIV),Přesně vím,Nevím vůbec
Chci.něco.zásadního.doplnit.či.okomentovat.v.sekci.PIV. (PIV),NA,NA
Ohodnoťte..jak.důležitá.je.pro.Vás.Matematika. (MATEMATIKA),Nezajímá mě,Velmi důležitý a baví mě
Ohodnoťte..jak.moc.Vás.v.Matematice.zatěžují.úkoly.na.doma. (MATEMATIKA),Téměř vůbec,Opravdu hodně
Ohodnoťte..jak.moc.Vás.v.Matematice.zatěžuje.příprava.na.zkouškové. (MATEMATIKA),Téměř vůbec,Opravdu hodně
Ohodnoťte..jak.je.pro.Vás.zátěž.v.Matematice.konzistentní. (MATEMATIKA),Konzistentní,Velmi volatilní
Hodnocení.QZ.v.tomto.předmětu..2 (MATEMATIKA),NA,NA
Ohodnoťte.kvalitu.zpětné.vazby.a.kritérií.hodnocení.v.Matematice. (MATEMATIKA),Jasná,Nejasná
Jak.je.pro.Vás.v.Matematice.srozumitelný.systém.hodnocení.procesu..ABC.. (MATEMATIKA),Přesně chápu,Vůbec nefunguje
Ohodnoťte..jak.moc.přesně.můžete.očekávat..jakou.známku.ve.zkouškovém.dostanete..2 (MATEMATIKA),Přesně vím,Nevím vůbec
Chci.něco.zásadního.doplnit.či.okomentovat.v.sekci.Matematika. (MATEMATIKA),NA,NA
Z.hlediska.průběžné.práce.mne.více.zatěžuje. (ANGLIČTINA),NA,NA
Ohodnoťte..jak.důležitá.je.pro.Vás.Angličtina. (ANGLIČTINA),Nezajímá mě,Velmi důležitý a baví mě
Ohodnoťte..jak.moc.Vás.v.Angličtině.zatěžují.úkoly.na.doma. (ANGLIČTINA),Téměř vůbec,Opravdu hodně
Ohodnoťte..jak.moc.Vás.v.Angličtině.zatěžuje.příprava.na.zkouškové. (ANGLIČTINA),Téměř vůbec,Opravdu hodně
Ohodnoťte..jak.je.pro.Vás.zátěž.v.Angličtině.konzistentní. (ANGLIČTINA),Konzistentní,Velmi volatilní
Hodnocení.QZ.v.tomto.předmětu..3 (ANGLIČTINA),NA,NA
Ohodnoťte.kvalitu.zpětné.vazby.a.kritérií.hodnocení.v.Angličtině. (ANGLIČTINA),Jasná,Nejasná
Jak.je.pro.Vás.v.Angličtině.srozumitelný.systém.hodnocení.procesu..ABC.. (ANGLIČTINA),Přesně chápu,Vůbec nefunguje
Ohodnoťte..jak.moc.přesně.můžete.očekávat..jakou.známku.ve.zkouškovém.dostanete..3 (ANGLIČTINA),Přesně vím,Nevím vůbec
Chci.něco.zásadního.doplnit.či.okomentovat.v.sekci.Angličtina. (ANGLIČTINA),NA,NA
Ohodnoťte..jak.důležitá.je.pro.Vás.Čeština.a.komunikace. (ČEŠTINA A KOMUNIKACE),Nezajímá mě,Velmi důležitý a baví mě
Ohodnoťte..jak.moc.Vás.v.Češtině.a.komunikaci.zatěžují.úkoly.na.doma. (ČEŠTINA A KOMUNIKACE),Téměř vůbec,Opravdu hodně
Ohodnoťte..jak.moc.Vás.v.Češtině.a.komunikaci.zatěžuje.příprava.na.zkouškové. (ČEŠTINA A KOMUNIKACE),Téměř vůbec,Opravdu hodně
Ohodnoťte..jak.je.pro.Vás.zátěž.v.Češtině.a.komunikaci.konzistentní. (ČEŠTINA A KOMUNIKACE),Konzistentní,Velmi volatilní
Hodnocení.QZ.v.tomto.předmětu..4 (ČEŠTINA A KOMUNIKACE),NA,NA
Ohodnoťte.kvalitu.zpětné.vazby.a.kritérií.hodnocení.v.Češtině.a.komunikaci. (ČEŠTINA A KOMUNIKACE),Jasná,Nejasná
Jak.je.pro.Vás.v.Češtině.a.komunikaci.srozumitelný.systém.hodnocení.procesu..ABC.. (ČEŠTINA A KOMUNIKACE),Přesně chápu,Vůbec nefunguje
Ohodnoťte..jak.moc.přesně.můžete.očekávat..jakou.známku.ve.zkouškovém.dostanete..4 (ČEŠTINA A KOMUNIKACE),Přesně vím,Nevím vůbec
Chci.něco.zásadního.doplnit.či.okomentovat.v.sekci.Čeština.a.komunikace. (ČEŠTINA A KOMUNIKACE),NA,NA
Ohodnoťte..jak.důležitý.je.pro.Vás.Druhý.cizí.jazyk. (DRUHÝ CIZÍ JAZYK),Nezajímá mě,Velmi důležitý a baví mě
Ohodnoťte..jak.moc.Vás.v.Druhém.cizím.jazyce.zatěžují.úkoly.na.doma. (DRUHÝ CIZÍ JAZYK),Téměř vůbec,Opravdu hodně
Ohodnoťte..jak.moc.Vás.v.Druhém.cizím.jazyce.zatěžuje.příprava.na.zkouškové. (DRUHÝ CIZÍ JAZYK),Téměř vůbec,Opravdu hodně
Ohodnoťte..jak.je.pro.Vás.zátěž.v.Druhém.cizím.jazyce.konzistentní. (DRUHÝ CIZÍ JAZYK),Konzistentní,Velmi volatilní
Hodnocení.QZ.v.tomto.předmětu..5 (DRUHÝ CIZÍ JAZYK),NA,NA
Ohodnoťte.kvalitu.zpětné.vazby.a.kritérií.hodnocení.v.Druhém.cizím.jazyce. (DRUHÝ CIZÍ JAZYK),Jasná,Nejasná
Jak.je.pro.Vás.v.Druhém.cizím.jazyce.srozumitelný.systém.hodnocení.procesu..ABC.. (DRUHÝ CIZÍ JAZYK),Přesně chápu,Vůbec nefunguje
Ohodnoťte..jak.moc.přesně.můžete.očekávat..jakou.známku.ve.zkouškovém.dostanete..5 (DRUHÝ CIZÍ JAZYK),Přesně vím,Nevím vůbec
Chci.něco.zásadního.doplnit.či.okomentovat.v.sekci.Druhý.cizí.jazyk. (DRUHÝ CIZÍ JAZYK),NA,NA
Ohodnoťte..jak.důležitá.je.pro.Vás.OSV. (OSV),Nezajímá mě,Velmi důležité a baví mě
Ohodnoťte..jak.moc.Vás.v.OSV.zatěžují.úkoly.na.doma. (OSV),Téměř vůbec,Opravdu hodně
Ohodnoťte..jak.moc.Vás.v.OSV.zatěžuje.příprava.na.zkouškové. (OSV),Téměř vůbec,Opravdu hodně
Ohodnoťte..jak.je.pro.Vás.zátěž.v.OSV.konzistentní. (OSV),Konzistentní,Velmi volatilní
Hodnocení.QZ.v.tomto.předmětu..6 (OSV),NA,NA
Ohodnoťte.kvalitu.zpětné.vazby.a.kritérií.hodnocení.v.OSV. (OSV),Jasná,Nejasná
Jak.je.pro.Vás.v.OSV.srozumitelný.systém.hodnocení.procesu..ABC.. (OSV),Přesně chápu,Vůbec nefunguje
Ohodnoťte..jak.moc.přesně.můžete.očekávat..jakou.známku.ve.zkouškovém.dostanete..6 (OSV),Přesně vím,Nevím vůbec
Chci.něco.zásadního.doplnit.či.okomentovat.v.sekci.OSV. (OSV),NA,NA
Ohodnoťte..jak.důležitá.je.pro.Vás.Tvorba. (TVORBA),Nezajímá mě,Velmi důležitý a baví mě
Ohodnoťte..jak.moc.Vás.v.Tvorbě.zatěžují.úkoly.na.doma. (TVORBA),Téměř vůbec,Opravdu hodně
Ohodnoťte..jak.moc.Vás.v.Tvorbě.zatěžuje.příprava.na.zkouškové. (TVORBA),Téměř vůbec,Opravdu hodně
Ohodnoťte..jak.je.pro.Vás.zátěž.v.Tvorbě.konzistentní. (TVORBA),Konzistentní,Velmi volatilní
Hodnocení.QZ.v.tomto.předmětu..7 (TVORBA),NA,NA
Ohodnoťte.kvalitu.zpětné.vazby.a.kritérií.hodnocení.v.Tvorbě. (TVORBA),Jasná,Nejasná
Jak.je.pro.Vás.v.Tvorbě.srozumitelný.systém.hodnocení.procesu..ABC.. (TVORBA),Přesně chápu,Vůbec nefunguje
Ohodnoťte..jak.moc.přesně.můžete.očekávat..jakou.známku.ve.zkouškovém.dostanete..7 (TVORBA),Přesně vím,Nevím vůbec
Chci.něco.zásadního.doplnit.či.okomentovat.v.sekci.Tvorba. (TVORBA),NA,NA
Máte.v.tomto.školním.roce.předmět.IKT.,NA,NA
Ohodnoťte..jak.důležitý.je.pro.Vás.IKT. (IKT),Nezajímá mě,Velmi důležitý a baví mě
Ohodnoťte..jak.moc.Vás.v.IKT.zatěžují.úkoly. (IKT),Téměř vůbec,Opravdu hodně
Ohodnoťte..jak.moc.Vás.v.IKT.zatěžuje.příprava.na.zkouškové..bez.úkolů.a.toho..co.se.děje.v.hodinách.. (IKT),Téměř vůbec,Opravdu hodně
Ohodnoťte..jak.je.pro.Vás.zátěž.v.IKT.konzistentní.přes.více.tématických.období.a.zkouškových. (IKT),Konzistentní,Velmi volatilní
Ohodnoťte.kvalitu.zpětné.vazby.a.kritérií.hodnocení.v.IKT. (IKT),Jasná,Nejasná
Ohodnoťte..jak.moc.jste.si.jistý.á..jakou.známku.v.IKT.dostanete.podle.toho..jak.jste.se.učil.a. (IKT),Přesně vím,Nevím vůbec
Máte.v.tomto.školním.roce.předmět.Literatura.a.umění.,NA,NA
Ohodnoťte..jak.důležitá.je.pro.Vás.Literatura.a.umění. (LITERATURA A UMĚNÍ),Nezajímá mě,Velmi důležitý a baví mě
Ohodnoťte..jak.moc.Vás.v.Literatuře.a.umění.zatěžují.úkoly. (LITERATURA A UMĚNÍ),Téměř vůbec,Opravdu hodně
Ohodnoťte..jak.moc.Vás.v.Literatuře.a.umění.zatěžuje.příprava.na.zkouškové..bez.úkolů.a.toho..co.se.děje.v.hodinách.. (LITERATURA A UMĚNÍ),Téměř vůbec,Opravdu hodně
Ohodnoťte..jak.je.pro.Vás.zátěž.v.Literatuře.a.umění.konzistentní.přes.více.tématických.období.a.zkouškových. (LITERATURA A UMĚNÍ),Konzistentní,Velmi volatilní
Ohodnoťte.kvalitu.zpětné.vazby.a.kritérií.hodnocení.v.Literatuře.a.umění. (LITERATURA A UMĚNÍ),Jasná,Nejasná
Ohodnoťte..jak.moc.jste.si.jistý.á..jakou.známku.v.Literatuře.a.umění.dostanete.podle.toho..jak.jste.se.učil.a. (LITERATURA A UMĚNÍ),Přesně vím,Nevím vůbec
